Time (s),MC Inlet,MC Outlet,Motor Inlet,Motor Outlet
243441.58,24,24,44,50
243932.1,24,24,44,50
244423.12,24,24,44,50
244914.63,24,24,44,50
245406.64,24,24,44,50
245899.13,24,24,44,50
246392.12,24,24,44,50
246885.6,24,24,44,50
247379.58,24,24,44,50
247874.05,24,24,44,50
248369.02,24,24,44,50
248864.48,24,24,44,50
249360.45,23,24,44,50
249856.9,24,24,44,50
250353.84,24,24,44,50
250851.28,24,24,45,50
251349.21,24,24,45,50
251847.63,24,24,45,50
252346.55,24,24,45,50
252845.96,24,24,45,50
253345.87,24,24,45,50
253846.28,24,24,45,50
254347.17,24,24,45,50
254848.56,24,24,45,50
255350.44,24,24,45,50
255852.82,24,24,45,50
256355.7,24,24,45,50
256859.06,24,23,45,50
257362.92,24,24,45,50
257867.28,24,24,45,50
258372.13,24,24,45,50
258877.47,24,24,45,50
259383.31,24,24,45,50
259889.64,24,24,45,50
260396.46,24,24,47,50
260903.77,24,24,45,50
261411.58,24,24,45,51
261919.89,24,24,44,51
262428.69,24,24,44,51
262937.99,24,24,44,51
263447.78,24,24,44,50
263958.08,24,24,44,51
264468.86,24,24,44,51
264980.13,24,24,44,51
265491.89,24,24,44,51
266004.15,24,24,44,51
266516.9,24,24,44,51
267030.15,24,24,45,51
267543.89,24,24,45,51
268058.12,24,24,45,51
268572.85,24,24,45,51
269088.07,24,24,45,51
269603.79,24,24,45,51
270120.0,24,24,45,51
270636.71,23,24,45,51
271153.91,24,24,45,51
271671.6,24,24,45,51
272189.8,24,24,45,51
272708.48,24,24,45,51
273227.66,24,24,45,51
273747.33,24,24,45,51
274267.49,24,23,45,51
274788.14,24,24,45,51
275309.29,24,24,45,51
275830.94,24,24,45,51
276353.08,24,24,46,51
276875.71,24,24,46,51
277398.84,24,24,46,51
277922.46,24,24,46,51
278446.57,24,24,46,51
278971.18,24,24,46,51
279496.28,24,24,46,51
280021.88,24,24,46,51
280547.97,24,24,46,51
281074.55,24,24,46,51
