Time (s),N*m
30313250.81,0.0
30313293.46,0.0
30313336.21,0.0
30313379.01,0.0
30313421.94,0.0
30313464.92,0.0
30313507.95,0.0
30313551.03,0.0
30313594.16,0.0
30313637.4,0.0
30313680.69,0.0
30313724.06,0.0
30313767.48,0.0
30313810.96,0.0
30313854.5,0.0
30313898.12,0.0
30313941.79,0.0
30313985.53,0.0
30314029.33,0.0
30314073.14,0.0
30314117.01,0.0
30314160.92,0.0
30314204.94,0.0
30314249.0,0.0
30314293.12,0.0
30314337.29,0.0
30314381.52,0.0
30314425.81,0.0
30314470.15,0.0
30314514.55,0.0
30314559.05,0.0
30314603.57,0.0
30314648.15,0.0
30314692.79,0.0
30314737.48,0.0
30314782.24,0.0
30314827.06,0.0
30314872.04,0.0
30314917.06,0.0
30314962.14,0.0
30315007.27,0.0
30315052.46,0.0
30315097.67,0.0
30315142.97,0.0
30315188.3,0.0
30315233.74,0.0
30315279.24,0.0
30315324.78,0.0
30315370.37,0.0
30315416.01,0.0
30315461.72,0.0
30315507.51,0.0
30315553.36,0.0
30315599.26,0.0
30315645.24,0.0
30315691.25,0.0
30315737.3,0.0
30315783.39,0.0
30315829.63,0.0
30315875.96,0.0
30315922.42,0.0
30315968.92,0.0
30316015.5,0.0
30316062.16,0.0
30316108.91,0.0
30316155.73,0.0
30316202.64,0.0
30316249.59,0.0
30316296.61,0.0
30316343.68,0.0
30316390.82,0.0
30316438.02,0.0
30316485.29,0.0
30316532.6,0.0
30316579.96,0.0
30316627.41,0.0
30316674.91,0.0
30316722.46,0.0
30316770.06,0.0
30316817.7,0.0
30316865.38,0.0
30316913.13,0.0
30316960.97,0.0
30317008.87,0.0
30317056.84,0.0
30317104.84,0.0
30317152.91,0.0
30317201.04,0.0
30317249.19,0.0
30317297.39,0.0
30317345.68,0.0
30317394.02,0.0
30317442.44,0.0
30317490.91,0.0
30317539.47,0.0
30317588.06,0.0
30317636.72,0.0
30317685.47,0.0
30317734.27,0.0
30317783.15,0.0
30317832.08,0.0
30317881.05,0.0
30317930.07,0.0
30317979.15,0.0
30318028.32,0.0
30318077.55,0.0
30318126.84,0.0
30318176.2,0.0
30318225.64,0.0
30318275.12,0.0
30318324.64,0.0
30318374.24,0.0
30318423.87,0.0
30318473.56,0.0
30318523.3,0.0
30318573.1,0.0
30318622.97,0.0
30318672.91,0.0
30318722.94,0.0
30318773.1,0.0
30318823.32,0.0
30318873.56,0.0
30318923.85,0.0
30318974.18,0.0
30319024.63,0.0
30319075.14,0.0
30319125.71,0.0
30319176.33,0.0
30319227.04,0.0
30319277.79,0.0
30319328.59,0.0
30319379.53,0.0
30319430.5,0.0
30319481.52,0.0
30319532.6,0.0
30319583.71,0.0
30319634.92,0.0
30319686.2,0.0
30319737.56,0.0
30319788.98,0.0
30319840.43,0.0
30319891.92,0.0
30319943.46,0.0
30319995.05,0.0
30320046.69,0.0
30320098.38,0.0
30320150.14,0.0
30320201.97,0.0
30320253.85,0.0
30320305.78,0.0
30320357.78,0.0
30320409.81,0.0
30320461.95,0.0
30320514.14,0.0
30320566.37,0.0
30320618.65,0.0
30320671.01,0.0
30320723.43,0.0
30320775.9,0.0
30320828.44,0.0
30320881.02,0.0
30320933.68,0.0
30320986.37,0.0
30321039.12,0.0
30321091.95,0.0
30321144.84,0.0
30321197.75,0.0
30321250.75,0.0
30321303.81,0.0
30321356.95,0.0
30321410.15,0.0
30321463.4,0.0
30321516.72,0.0
30321570.15,0.0
30321623.65,0.0
30321677.2,0.0
30321730.84,0.0
30321784.54,0.0
30321838.28,0.0
30321892.11,0.0
30321946.04,0.0
30322000.03,0.0
30322054.08,0.0
30322108.2,0.0
30322162.35,0.0
30322216.56,0.0
30322270.91,0.0
30322325.35,0.0
30322379.84,0.0
30322434.37,0.0
30322488.97,0.0
30322543.62,0.0
30322598.37,0.0
30322653.19,0.0
30322708.06,0.0
30322762.95,0.0
30322817.91,0.0
30322872.92,0.0
30322928.0,0.0
30322983.16,0.0
30323038.37,0.0
30323093.66,0.0
30323149.0,0.0
30323204.38,0.0
30323259.83,0.0
30323315.29,0.0
30323370.87,0.0
30323426.51,0.0
30323482.22,0.0
30323538.0,0.0
30323593.84,0.0
30323649.72,0.0
30323705.73,0.0
30323761.84,0.0
30323818.0,0.0
30323874.2,0.0
30323930.45,0.0
30323986.78,0.0
30324043.22,0.0
30324099.72,0.0
30324156.27,0.0
30324212.85,0.0
30324269.47,0.0
30324326.14,0.0
30324382.87,0.0
30324439.69,0.0
30324496.57,0.0
30324553.49,0.0
30324610.48,0.0
30324667.54,0.0
30324724.65,0.0
30324781.79,0.0
30324839.02,0.0
30324896.31,0.0
30324953.66,0.0
30325011.1,0.0
30325068.58,0.0
30325126.11,0.0
30325183.71,0.0
30325241.4,0.0
30325299.14,0.0
30325356.98,0.0
30325414.86,0.0
30325472.8,0.0
30325530.79,0.0
30325588.82,0.0
30325646.92,0.0
30325705.07,0.0
30325763.28,0.0
30325821.56,0.0
30325879.89,0.0
30325938.27,0.0
30325996.74,0.0
30326055.35,0.0
30326114.02,0.0
30326172.74,0.0
30326231.52,0.0
30326290.33,0.0
30326349.18,0.0
30326408.06,0.0
30326467.04,0.0
30326526.06,0.0
30326585.15,0.0
30326644.3,0.0
30326703.53,0.0
30326762.81,0.0
30326822.13,0.0
30326881.61,0.0
30326941.13,0.0
30327000.73,0.0
30327060.37,0.0
30327120.06,0.0
30327179.88,0.0
30327239.74,0.0
30327299.65,0.0
30327359.62,0.0
30327419.67,0.0
30327479.77,0.0
30327539.91,0.0
30327600.11,0.0
30327660.39,0.0
30327720.73,0.0
30327781.12,0.0
30327841.59,0.0
30327902.11,0.0
30327962.68,0.0
