Time (s),Temperature (Degrees C)
191471.43,16
191542.6,16
191614.34,16
191686.64,16
191759.52,16
191833.07,16
191907.23,16
191981.9,16
192057.18,16
192133.09,16
192210.75,16
192288.99,16
192367.83,16
192447.29,16
192527.3,16
192607.94,16
192689.15,16
192770.93,16
192853.32,16
192936.88,16
193021.04,16
193105.78,16
193191.11,16
193277.04,16
193363.56,16
193450.66,16
193538.4,16
193626.7,16
193715.57,16
193805.03,16
193895.15,16
193985.85,16
194077.1,16
194168.93,16
194261.34,16
194264.85,0
194269.19,16
194274.15,16
194279.74,16
194285.91,16
194292.64,16
194300.02,16
194307.95,16
194316.48,16
194325.57,16
194335.28,16
194345.56,16
194356.45,16
194367.9,16
194379.99,16
194393.24,16
194407.09,16
194421.57,16
194436.64,16
194452.22,16
194468.41,16
194485.2,16
194502.57,16
194520.54,16
194539.1,16
194559.46,16
194580.41,16
194601.96,16
194624.11,16
194647.38,16
194671.29,16
194695.76,16
194720.83,16
194746.46,16
194772.7,16
194799.55,16
194826.98,16
194855.01,16
194883.64,16
194912.83,16
194942.63,16
194973.0,16
195003.97,16
195035.54,16
195067.71,16
195100.5,16
195133.85,16
195168.98,16
195204.71,16
195240.99,16
195277.92,16
195315.45,16
195353.53,16
195392.22,16
195431.43,16
195471.23,16
195511.67,16
195552.72,16
195594.33,16
195637.15,16
195680.56,16
195724.57,16
195769.11,16
195814.26,16
195860.0,16
195906.34,16
195953.87,16
196001.97,16
196050.63,16
196099.91,16
196149.83,16
196200.35,16
196251.42,16
196303.03,16
196355.24,16
196408.07,16
196461.48,16
196516.13,16
196571.38,16
196574.87,0
196578.64,16
196582.99,16
196587.92,16
196593.49,16
196599.68,16
196606.41,16
196613.76,16
196621.69,16
196630.22,16
196639.33,16
196649.06,16
196659.36,16
196670.25,16
196681.71,16
196693.77,16
196708.82,16
196724.42,16
196741.2,16
196758.56,16
196776.5,16
196795.04,16
196814.18,16
196833.92,16
196854.26,16
196875.2,16
196878.7,0
196882.46,16
196886.8,16
196891.74,16
196897.32,16
196903.48,16
196910.21,16
196917.57,16
196925.5,16
196934.01,16
196943.1,16
196952.82,16
196963.1,16
196974.01,16
196985.47,16
196997.52,16
197010.16,16
197023.96,16
197038.4,16
197053.44,16
197069.03,16
197085.19,16
197101.98,16
197119.35,16
197137.31,16
197155.83,16
197176.16,16
197197.08,16
197219.19,16
197241.89,16
197265.18,16
197289.08,16
197313.51,16
197338.53,16
197364.11,16
197390.34,16
197417.78,16
197445.81,16
197475.02,16
197504.77,16
197535.18,16
197566.15,16
197597.71,16
197629.87,16
197662.6,16
197695.94,16
197729.87,16
197764.39,16
197799.51,16
197835.24,16
197871.53,16
197908.41,16
197945.87,16
197983.93,16
198022.55,16
198061.77,16
198101.59,16
198142.03,16
198183.65,16
198225.84,16
198268.61,16
198311.99,16
198356.54,16
198401.68,16
198447.4,16
198493.72,16
198540.65,16
198588.78,16
198637.5,16
198686.82,16
198736.72,16
198787.2,16
198838.24,16
198889.86,16
198942.14,16
198995.02,16
199048.46,16
199102.48,16
199157.11,16
199212.37,16
199268.14,16
199324.54,16
199381.53,16
199439.08,16
199497.24,16
199555.97,16
199615.33,16
199675.26,16
199735.78,16
199797.53,16
199859.85,16
199923.28,16
