Time (s),Amps
154995.52,4865
155170.09,4609
155346.69,4609
155524.26,4865
155702.86,4609
155883.45,4609
156065.02,4865
156248.6,5121
156433.19,5121
156618.74,4865
156806.33,4865
156994.88,4609
157184.51,4609
157376.09,4609
157568.65,4097
157763.23,3841
157958.89,4097
158155.52,3585
158353.13,4097
158552.74,3073
158753.36,3073
158955.96,4097
159159.62,2305
159365.24,3841
159571.87,4097
159779.52,4097
159988.13,3841
160197.79,3841
160408.39,4097
160620.05,5121
160833.67,3073
161050.34,3073
161271.0,2817
161492.66,2561
161715.29,3073
161939.99,2561
162165.63,2305
162393.26,3073
162621.96,2305
162851.64,2817
163082.3,769
163313.97,2817
163547.63,2561
163783.28,4097
164020.0,2561
164257.68,2817
164496.34,2561
164737.03,1793
164978.72,1793
165222.37,2305
165470.06,769
165719.76,769
165972.43,2817
166227.1,2305
166482.8,2305
166739.47,1793
166997.17,2305
167255.87,2305
167515.57,1281
167776.25,1793
168037.97,1793
168301.68,1793
168566.36,1793
168832.09,1281
169098.83,769
169366.58,-256
169635.3,769
169905.01,513
170175.79,2305
170447.5,769
170720.24,-512
170994.98,513
171270.73,769
171548.46,769
171828.18,1793
172108.91,1281
172391.65,769
172675.43,1281
172961.15,513
173248.9,769
173537.65,257
173827.39,513
174118.12,-512
174409.91,257
174703.68,513
175000.46,257
175298.23,769
175597.01,513
175896.77,513
176197.55,1281
176499.31,4609
176802.09,513
177106.89,769
177412.65,257
177720.42,257
178031.21,513
178343.0,513
178655.8,257
178969.56,257
179285.32,-512
179604.13,-512
179923.93,-512
180245.71,-1024
180568.52,-512
180892.28,257
181217.11,-768
181542.93,513
181869.76,-512
